symbol,t_score
1STCUS,100
20MICRONS,100
21STCENMGM,100
360ONE,75
3BBLACKBIO,62
3CIT,
3IINFOLTD,12
3MINDIA,100
3PLAND,75
3RDROCK,
4THGEN,75
5PAISA,0
63MOONS,38
7NR,12
7SEASL,88
7TEC,38
A2ZINFRA,100
AAATECH,38
AADHAARVEN,
AADHARHFC,50
AADIIND,75
AAGAMCAP,
AAIL,0
AAKASH,50
AAL,12
AANANDALAK,0
AANCHALISP,12
AAPLUSTRAD,
AARCOM,
AAREYDRUGS,12
AARNAV,62
AARON,12
AARSHYAM,58
AARTECH,50
AARTIDRUGS,50
AARTIIND,75
AARTIPHARM,75
AARTISURF,62
AARVEEDEN,38
AARVI,38
AASHKA,
AASTAFIN,25
AATMAJ,0
AAVAS,75
AAYUSH,100
ABAN,50
ABANSENT,25
ABATEAS,75
ABB,75
ABBOTINDIA,62
ABCAPITAL,75
ABCGAS,75
ABCINDQ,0
ABCOTS,75
ABFRL,75
ABHICAP,88
ABHIFIN,50
ABHIINFRA,12
ABHIJIT,
ABHISHEK,
ABINFRA,75
ABIRAFN,25
ABMINTLLTD,62
ABMKNO,75
ABNINT,
ABSLAMC,75
ABSMARINE,100
ABVL,50
ACC,75
ACCEDERE,75
ACCEL,0
ACCELERATE,
ACCELYA,62
ACCENTMIC,0
ACCORD,62
ACCURACY,62
ACE,62
ACEEDU,100
ACEENGITEC,
ACEINTEG,12
ACEMEN,25
ACESOFT,75
ACEWIN,
ACFL,-1
ACFSL,
ACGL,100
ACHAL,
ACHYUT,
ACI,62
ACIASIA,
ACIIN,12
ACIL,
ACKNIT,62
ACL,25
ACLGATI,25
ACME,0
ACML,
ACROW,62
ACSAL,0
ACTIONFI,
ACTIVE,12
ADANIENSOL,38
ADANIENT,50
ADANIGREEN,38
ADANIPORTS,75
ADANIPOWER,50
ADARSH,75
ADARSHPL,75
ADCINDIA,100
ADCON,38
ADDIND,38
ADESHWAR,
ADFFOODS,75
ADHBHUTIN,12
ADHIRAJ,
ADIEXRE,12
ADINATH,25
ADISHAKTI,
ADITRI,
ADITYA,62
ADITYASP,12
ADJIA,100
ADL,62
ADLINE,12
ADMANUM,38
ADORFO,88
ADORMUL,75
ADORWELD,25
ADROITINFO,25
ADSL,88
ADTECH,-1
ADTYFRG,
ADVAIT,62
ADVANIHOTR,50
ADVENT,
ADVENZYMES,75
ADVIKCA,0
ADVIKLA,75
ADVLIFE,25
ADVMULT,
ADVPETR-B,38
ADVPOWER,
AEGISLOG,75
AEL,75
AEONXDIGI,38
AEPL,0
AEROFLEX,83
AERPACE,62
AETHER,50
AFEL,75
AFFLE,75
AFFORDABLE,
AGARIND,75
AGARWAL,38
AGARWALFT,
AGI,12
AGIIL,25
AGIOPAPER,25
AGNI,37.5
AGOL,0
AGRIMONY,
AGRITECH,50
AGROPHOS,50
AGSTRA,38
AGUL,0
AHASOLAR,
AHIMSA,
AHL,75
AHLADA,12
AHLEAST,25
AHLUCONT,50
AHLWEST,
AHMDSTE,100
AIAENG,100
AICHAMP,38
AIFL,
AIHL,17
AIIL,75
AIKPIPES,
AILIMITED,
AIMCOPEST,12
AIML,75
AIMTRON,-1
AIRAN,62
AIRLTD,33
AIROLAM,25
AISL,
AJANTPHARM,62
AJANTSOY,38
AJCON,0
AJEL,50
AJIL,
AJMERA,75
AJOONI,12
AJRINFRA,
AJWAFUN,
AKANKSHA,0
AKASH,0
AKCAPIT,75
AKG,25
AKI,50
AKM,
AKSHAR,12
AKSHARCHEM,88
AKSHOPTFBR,0
AKSPINTEX,75
AKZOINDIA,100
ALAN SCOTT,50
ALANKIT,50
ALBERTDAVD,88
ALCHCORP,0
ALCHEM,
ALEMBICLTD,100
ALEXANDER,12
ALFAICA,75
ALFATRAN,25
ALFAVIO,0
ALFL,62
ALFREDHE,38
ALICON,75
ALKA,
ALKALI,88
ALKASEC,
ALKEM,38
ALKOSIGN,
ALKYLAMINE,38
ALLCARGO,0
ALLETEC,50
ALLSEC,75
ALMONDZ,88
ALNATRD,-1
ALOKINDS,50
ALPA,62
ALPEXSOLAR,0
ALPHAGEO,75
ALPHAIND,
ALPHALOGIC,25
ALPINEHOU,0
ALPSINDUS,62
ALPSMOTOR,
ALSL,
ALSTONE,25
ALUFLUOR,38
ALUWIND,66.67
AMAL,12
